hour_of_day,avg_temp
0,23.285897435897432
1,24.85153846153846
2,24.50976744186047
3,26.468055555555555
4,24.664181818181827
5,25.07927272727272
6,24.763030303030295
7,24.706666666666674
8,24.95333333333333
9,25.122571428571433
10,24.4225
11,25.78113636363635
12,25.39029411764706
13,25.74
14,23.13687499999999
15,25.371904761904766
16,24.24880952380953
17,24.310952380952376
18,24.85783783783783
19,23.321666666666665
20,24.134199999999996
21,24.893414634146332
22,24.83536585365854
23,24.153214285714288
